Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD
Arsenal,16,11,3,2,30,10,20,36,2.25,26.5,9.6,16.9
Manchester City,16,11,1,4,38,16,22,34,2.13,30.3,17.6,12.7
Aston Villa,16,10,3,3,25,17,8,33,2.06,16.7,21.4,-4.7
Chelsea,16,8,4,4,27,15,12,28,1.75,26.9,19.7,7.2
Crystal Palace,16,7,5,4,20,15,5,26,1.63,26.2,18.5,7.7
Manchester Utd,16,7,5,4,30,26,4,26,1.63,30.2,21.7,8.4
Liverpool,16,8,2,6,26,24,2,26,1.63,25.9,19.6,6.3
Sunderland,16,7,5,4,19,17,2,26,1.63,13.3,21.0,-7.7
Everton,16,7,3,6,18,19,-1,24,1.50,19.5,21.9,-2.3
Brighton,16,6,5,5,25,23,2,23,1.44,25.4,21.2,4.2
Tottenham,16,6,4,6,25,21,4,22,1.38,15.1,22.0,-6.9
Newcastle Utd,16,6,4,6,21,20,1,22,1.38,20.8,17.1,3.7
Bournemouth,16,5,6,5,25,28,-3,21,1.31,22.7,22.8,-0.1
Fulham,16,6,2,8,23,26,-3,20,1.25,16.9,21.8,-4.9
Brentford,16,6,2,8,22,25,-3,20,1.25,22.4,20.9,1.5
Nottingham Forest,16,5,3,8,17,25,-8,18,1.13,19.5,22.7,-3.2
Leeds United,16,4,4,8,20,30,-10,16,1.00,21.3,22.2,-1.0
West Ham,16,3,4,9,19,32,-13,13,0.81,16.3,25.8,-9.5
Burnley,16,3,1,12,18,33,-15,10,0.63,14.5,32.5,-18.0
Wolves,16,0,2,14,9,35,-26,2,0.13,13.6,24.0,-10.4
