Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD
Bayern Munich,14,12,2,0,51,11,+40,38,2.71,39.4,9.4,+30.0
Dortmund,15,9,5,1,26,12,+14,32,2.13,23.0,14.6,+8.4
Leverkusen,15,9,2,4,33,20,+13,29,1.93,27.0,17.8,+9.3
RB Leipzig,15,9,2,4,30,19,+11,29,1.93,27.9,20.7,+7.2
Hoffenheim,15,8,3,4,29,20,+9,27,1.80,22.5,22.6,-0.1
Stuttgart,15,8,2,5,25,22,+3,26,1.73,21.8,20.3,+1.5
Eint Frankfurt,15,7,4,4,30,30,0,25,1.67,22.2,19.4,+2.8
Union Berlin,15,6,3,6,20,23,-3,21,1.40,17.4,20.0,-2.6
Freiburg,15,5,5,5,25,26,-1,20,1.33,23.8,19.7,+4.0
Werder Bremen,15,4,5,6,18,28,-10,17,1.13,17.6,26.1,-8.4
Köln,15,4,4,7,22,24,-2,16,1.07,20.7,23.7,-3.0
Gladbach,15,4,4,7,18,24,-6,16,1.07,19.4,21.8,-2.5
Hamburger SV,15,4,4,7,16,25,-9,16,1.07,18.1,22.2,-4.1
Wolfsburg,15,4,3,8,23,28,-5,15,1.00,20.5,25.1,-4.7
Augsburg,15,4,2,9,17,28,-11,14,0.93,16.7,26.0,-9.3
St. Pauli,14,3,2,9,13,26,-13,11,0.79,11.9,22.6,-10.7
Heidenheim,14,3,2,9,13,30,-17,11,0.79,17.6,24.0,-6.4
Mainz 05,14,1,4,9,13,26,-13,7,0.50,16.0,27.4,-11.4
