Team,number,team,matches,wins,draws,loses,goals,ga,points,xG,xGA,xPTS,Home_matches,Home_wins,Home_draws,Home_loses,Home_goals,Home_ga,Home_points,Home_xG,Home_xGA,Home_xPTS,Away_matches,Away_wins,Away_draws,Away_loses,Away_goals,Away_ga,Away_points,Away_xG,Away_xGA,Away_xPTS,Recent_matches,Recent_wins,Recent_draws,Recent_loses,Recent_goals,Recent_ga,Recent_points,Recent_xG,Recent_xGA,Recent_xPTS,Recent_xG_per_match,Recent_xGA_per_match,Recent_goals_per_match,Recent_ga_per_match,Recent_points_per_match,Recent_form_momentum,RecentHome_matches,RecentHome_wins,RecentHome_draws,RecentHome_loses,RecentHome_goals,RecentHome_ga,RecentHome_points,RecentHome_xG,RecentHome_xGA,RecentHome_xPTS,RecentAway_matches,RecentAway_wins,RecentAway_draws,RecentAway_loses,RecentAway_goals,RecentAway_ga,RecentAway_points,RecentAway_xG,RecentAway_xGA,RecentAway_xPTS,xG_per_match,xGA_per_match,GF_per_match,GA_per_match,PTS_per_match,xPTS_per_match,xG_efficiency,xGA_efficiency,PTS_efficiency,win_pct,draw_pct,loss_pct,GD,xGD,Home_strength,Away_strength,Home_Away_difference
Bayern Munich,1,Bayern Munich,16,14,2,0,63,12,44,49.420,12.420,42.310,9,8,1,0,39,7,25,29.660,6.320,24.710,7,6,1,0,24,5,19,19.760,6.110,17.600,4,3,1,0,19,3,10,15.680,4.110,11.140,3.920,1.028,4.750,0.750,2.500,0.667,2,1,1,0,10,3,4,8.230,1.890,5.700,2,2,0,0,9,0,6,7.450,2.220,5.440,3.089,0.776,3.938,0.750,2.750,2.644,1.275,0.966,1.040,87.500,12.500,0,51,37,92.593,90.476,2.116
Borussia Dortmund,2,Borussia Dortmund,17,10,6,1,32,15,36,29.120,18,31.110,8,6,2,0,16,4,20,14.060,7.650,15.450,9,4,4,1,16,11,16,15.060,10.350,15.660,5,3,2,0,11,4,11,8.850,4.810,9.820,1.770,0.962,2.200,0.800,2.200,0.467,3,3,0,0,7,0,9,5.070,2.040,6.290,2,0,2,0,4,4,2,3.770,2.770,3.530,1.713,1.059,1.882,0.882,2.118,1.830,1.099,0.833,1.157,58.824,35.294,5.882,17,11.120,83.333,59.259,24.074
VfB Stuttgart,3,VfB Stuttgart,17,10,2,5,32,25,32,30.350,23.770,28.790,8,6,1,1,12,10,19,14.670,11.400,14.190,9,4,1,4,20,15,13,15.680,12.380,14.600,5,3,1,1,11,8,10,10.480,7.720,9.680,2.096,1.544,2.200,1.600,2,0.333,3,1,1,1,3,7,4,5.740,5.130,5.410,2,2,0,0,8,1,6,4.740,2.590,4.270,1.785,1.398,1.882,1.471,1.882,1.694,1.054,1.052,1.111,58.824,11.765,29.412,7,6.580,79.167,48.148,31.019
RasenBallsport Leipzig,4,RasenBallsport Leipzig,15,9,2,4,30,19,29,29.610,20.440,26.470,7,6,0,1,19,6,18,17.990,8.680,14.970,8,3,2,3,11,13,11,11.620,11.760,11.500,3,1,0,2,8,6,3,6.080,4.650,4.400,2.027,1.550,2.667,2,1,-0.333,2,1,0,1,7,3,3,5.580,3.180,3.850,1,0,0,1,1,3,0,0.500,1.480,0.560,1.974,1.363,2,1.267,1.933,1.765,1.013,0.930,1.096,60,13.333,26.667,11,9.170,85.714,45.833,39.881
Bayer Leverkusen,5,Bayer Leverkusen,16,9,2,5,34,24,29,34.250,21.890,29.110,9,5,1,3,19,10,16,20.400,8.680,19.350,7,4,1,2,15,14,13,13.850,13.210,9.760,4,2,0,2,6,7,6,8.400,7.210,6.280,2.100,1.802,1.500,1.750,1.500,0,2,1,0,1,3,4,3,4.280,3.120,3.490,2,1,0,1,3,3,3,4.120,4.080,2.790,2.141,1.368,2.125,1.500,1.813,1.819,0.993,1.096,0.996,56.250,12.500,31.250,10,12.360,59.259,61.905,-2.646
Hoffenheim,6,Hoffenheim,15,8,3,4,29,20,27,25.120,23.480,21.910,7,4,0,3,15,11,12,12.380,10.370,11.180,8,4,3,1,14,9,15,12.740,13.120,10.730,3,1,1,1,4,3,4,4.070,3.970,4.070,1.357,1.323,1.333,1,1.333,-0.111,1,1,0,0,4,1,3,2.490,1.410,2.180,2,0,1,1,0,2,1,1.580,2.560,1.880,1.675,1.565,1.933,1.333,1.800,1.461,1.154,0.852,1.232,53.333,20,26.667,9,1.640,57.143,62.500,-5.357
Eintracht Frankfurt,7,Eintracht Frankfurt,17,7,5,5,35,36,26,27.780,27.610,24.870,8,4,2,2,15,12,14,14.470,10.250,14,9,3,3,3,20,24,12,13.300,17.360,10.870,5,1,2,2,7,13,5,5.650,11.240,4.510,1.130,2.248,1.400,2.600,1,-0.333,2,1,1,0,4,3,4,3.180,2.950,3.030,3,0,1,2,3,10,1,2.460,8.280,1.480,1.634,1.624,2.059,2.118,1.529,1.463,1.260,1.304,1.045,41.176,29.412,29.412,-1,0.170,58.333,44.444,13.889
Freiburg,8,Freiburg,16,6,5,5,27,27,23,25.880,22.390,24.300,8,4,3,1,16,10,15,16.210,7.880,15.610,8,2,2,4,11,17,8,9.670,14.510,8.690,4,2,1,1,8,7,7,7.500,6.300,6.410,1.875,1.575,2,1.750,1.750,0.167,2,1,1,0,3,2,4,4.040,2.330,3.740,2,1,0,1,5,5,3,3.460,3.970,2.670,1.617,1.399,1.688,1.688,1.438,1.519,1.043,1.206,0.947,37.500,31.250,31.250,0,3.490,62.500,33.333,29.167
Union Berlin,9,Union Berlin,16,6,4,6,22,25,22,23.910,22.230,23.390,9,3,4,2,15,13,13,15.130,11.970,14.630,7,3,0,4,7,12,9,8.780,10.260,8.760,4,2,1,1,7,6,7,8.620,3.670,9.080,2.155,0.917,1.750,1.500,1.750,0.167,2,1,1,0,5,3,4,5.130,2.060,4.800,2,1,0,1,2,3,3,3.490,1.610,4.270,1.494,1.389,1.375,1.563,1.375,1.462,0.920,1.125,0.941,37.500,25,37.500,-3,1.680,48.148,42.857,5.291
Borussia M.Gladbach,10,Borussia M.Gladbach,16,5,4,7,22,24,19,25.090,25.520,21.280,9,2,3,4,12,17,9,13.010,17.210,9.860,7,3,1,3,10,7,10,12.080,8.320,11.410,4,2,0,2,6,5,6,6.320,7.040,5.070,1.580,1.760,1.500,1.250,1.500,0,2,1,0,1,5,3,3,4.190,4.300,2.800,2,1,0,1,1,2,3,2.120,2.750,2.260,1.568,1.595,1.375,1.500,1.188,1.330,0.877,0.940,0.893,31.250,25,43.750,-2,-0.430,33.333,47.619,-14.286
