Team,number,team,matches,wins,draws,loses,goals,ga,points,xG,xGA,xPTS,Home_matches,Home_wins,Home_draws,Home_loses,Home_goals,Home_ga,Home_points,Home_xG,Home_xGA,Home_xPTS,Away_matches,Away_wins,Away_draws,Away_loses,Away_goals,Away_ga,Away_points,Away_xG,Away_xGA,Away_xPTS,Recent_matches,Recent_wins,Recent_draws,Recent_loses,Recent_goals,Recent_ga,Recent_points,Recent_xG,Recent_xGA,Recent_xPTS,Recent_xG_per_match,Recent_xGA_per_match,Recent_goals_per_match,Recent_ga_per_match,Recent_points_per_match,Recent_form_momentum,RecentHome_matches,RecentHome_wins,RecentHome_draws,RecentHome_loses,RecentHome_goals,RecentHome_ga,RecentHome_points,RecentHome_xG,RecentHome_xGA,RecentHome_xPTS,RecentAway_matches,RecentAway_wins,RecentAway_draws,RecentAway_loses,RecentAway_goals,RecentAway_ga,RecentAway_points,RecentAway_xG,RecentAway_xGA,RecentAway_xPTS,xG_per_match,xGA_per_match,GF_per_match,GA_per_match,PTS_per_match,xPTS_per_match,xG_efficiency,xGA_efficiency,PTS_efficiency,win_pct,draw_pct,loss_pct,GD,xGD,Home_strength,Away_strength,Home_Away_difference
Barcelona,1,Barcelona,19,16,1,2,53,20,49,50.600,28.320,39.910,9,9,0,0,28,5,27,25.110,8.260,22.410,10,7,1,2,25,15,22,25.490,20.060,17.500,5,5,0,0,14,4,15,15.130,8.280,11.350,3.026,1.656,2.800,0.800,3,1,2,2,0,0,5,1,6,5.610,1.580,5.340,3,3,0,0,9,3,9,9.520,6.700,6.010,2.663,1.491,2.789,1.053,2.579,2.101,1.047,0.706,1.228,84.211,5.263,10.526,33,22.280,100,73.333,26.667
Real Madrid,2,Real Madrid,19,14,3,2,41,17,45,48.200,23.180,41.780,9,8,0,1,21,6,24,25.390,8.190,22.940,10,6,3,1,20,11,21,22.810,14.990,18.840,5,4,0,1,12,4,12,13.700,6.330,11.550,2.740,1.266,2.400,0.800,2.400,0.600,3,2,0,1,7,3,6,9.430,4.100,7.280,2,2,0,0,5,1,6,4.270,2.230,4.270,2.537,1.220,2.158,0.895,2.368,2.199,0.851,0.733,1.077,73.684,15.789,10.526,24,25.020,88.889,70,18.889
Villarreal,3,Villarreal,18,13,2,3,37,17,41,35.070,23.840,33.340,10,8,1,1,23,7,25,21.710,12.280,20.060,8,5,1,2,14,10,16,13.360,11.560,13.280,4,3,0,1,8,4,9,7,5.920,6.480,1.750,1.480,2,1,2.250,0.500,3,2,0,1,5,3,6,4.360,4.400,4.380,1,1,0,0,3,1,3,2.630,1.520,2.110,1.948,1.324,2.056,0.944,2.278,1.852,1.055,0.713,1.230,72.222,11.111,16.667,20,11.230,83.333,66.667,16.667
Atletico Madrid,4,Atletico Madrid,19,11,5,3,34,17,38,35.840,22.920,34.320,9,8,1,0,22,7,25,23.680,8.460,22.020,10,3,4,3,12,10,13,12.160,14.460,12.300,5,2,1,2,7,6,7,6.830,8.730,5.800,1.366,1.746,1.400,1.200,1.400,-0.067,1,1,0,0,2,1,3,2.070,1.260,1.970,4,1,1,2,5,5,4,4.760,7.470,3.830,1.886,1.206,1.789,0.895,2,1.806,0.949,0.742,1.107,57.895,26.316,15.789,17,12.920,92.593,43.333,49.259
Espanyol,5,Espanyol,19,10,4,5,23,20,34,30.710,26.580,28.250,10,6,1,3,13,12,19,17.560,14.770,15.720,9,4,3,2,10,8,15,13.150,11.810,12.520,5,3,1,1,5,4,10,6.630,6.440,7.460,1.326,1.288,1,0.800,2,0.333,2,1,0,1,1,2,3,3.380,3.230,3.200,3,2,1,0,4,2,7,3.250,3.210,4.260,1.616,1.399,1.211,1.053,1.789,1.487,0.749,0.752,1.204,52.632,21.053,26.316,3,4.130,63.333,55.556,7.778
Real Betis,6,Real Betis,19,7,8,4,31,25,29,32.600,26.250,30.240,9,5,1,3,18,11,16,18.520,11.400,16.900,10,2,7,1,13,14,13,14.080,14.850,13.350,5,1,2,2,9,11,5,10.670,10.750,6.920,2.134,2.150,1.800,2.200,1,-0.333,2,1,0,1,7,5,3,6.200,4.550,3.730,3,0,2,1,2,6,2,4.470,6.200,3.190,1.716,1.382,1.632,1.316,1.526,1.592,0.951,0.952,0.959,36.842,42.105,21.053,6,6.350,59.259,43.333,15.926
Celta Vigo,7,Celta Vigo,19,7,8,4,25,20,29,25.120,28,26.070,10,2,5,3,13,13,11,13.030,14.930,13.100,9,5,3,1,12,7,18,12.100,13.070,12.970,5,4,1,0,9,1,13,8.850,6.660,8.560,1.770,1.332,1.800,0.200,2.600,0.733,2,2,0,0,6,1,6,4.560,3.460,3.610,3,2,1,0,3,0,7,4.290,3.200,4.950,1.322,1.474,1.316,1.053,1.526,1.372,0.995,0.714,1.112,36.842,42.105,21.053,5,-2.880,36.667,66.667,-30.000
Athletic Club,8,Athletic Club,19,7,3,9,17,25,24,27.450,21.420,30.200,10,5,1,4,10,11,16,15.830,7.790,19.530,9,2,2,5,7,14,8,11.620,13.630,10.670,5,1,1,3,3,8,4,7.050,6.890,7.120,1.410,1.378,0.600,1.600,0.800,-0.467,3,1,0,2,2,5,3,3.830,4.050,4.090,2,0,1,1,1,3,1,3.220,2.840,3.030,1.445,1.127,0.895,1.316,1.263,1.589,0.619,1.167,0.795,36.842,15.789,47.368,-8,6.030,53.333,29.630,23.704
Elche,9,Elche,19,5,8,6,25,24,23,23.520,31.180,21.120,10,5,4,1,17,8,19,18.050,14.650,15.580,9,0,4,5,8,16,4,5.480,16.530,5.540,5,2,1,2,10,7,7,7.340,9.190,5.770,1.468,1.838,2,1.400,1.400,-0.067,3,2,0,1,8,3,6,6.790,4.570,5.460,2,0,1,1,2,4,1,0.560,4.620,0.310,1.238,1.641,1.316,1.263,1.211,1.112,1.063,0.770,1.089,26.316,42.105,31.579,1,-7.660,63.333,14.815,48.519
Rayo Vallecano,10,Rayo Vallecano,19,5,7,7,16,22,22,28.270,28.890,26.980,9,2,6,1,7,6,12,15.260,9.880,16.460,10,3,1,6,9,16,10,13.010,19.010,10.520,5,1,2,2,3,7,5,6.330,7.760,6.310,1.266,1.552,0.600,1.400,1,-0.333,3,1,2,0,3,2,5,4.900,2.510,5.850,2,0,0,2,0,5,0,1.430,5.250,0.460,1.488,1.521,0.842,1.158,1.158,1.420,0.566,0.762,0.815,26.316,36.842,36.842,-6,-0.620,44.444,33.333,11.111
Real Sociedad,11,Real Sociedad,19,5,6,8,24,27,21,28.660,25.030,29.460,9,3,2,4,13,14,11,15.770,11.290,15.490,10,2,4,4,11,13,10,12.900,13.740,13.960,5,1,2,2,5,6,5,6.720,5.890,7.560,1.344,1.178,1,1.200,1,-0.333,2,0,1,1,2,3,1,2.730,2.540,2.850,3,1,1,1,3,3,4,3.990,3.350,4.710,1.508,1.317,1.263,1.421,1.105,1.551,0.837,1.079,0.713,26.316,31.579,42.105,-3,3.630,40.741,33.333,7.407
