Team,number,team,matches,wins,draws,loses,goals,ga,points,xG,xGA,xPTS,Home_matches,Home_wins,Home_draws,Home_loses,Home_goals,Home_ga,Home_points,Home_xG,Home_xGA,Home_xPTS,Away_matches,Away_wins,Away_draws,Away_loses,Away_goals,Away_ga,Away_points,Away_xG,Away_xGA,Away_xPTS,Recent_matches,Recent_wins,Recent_draws,Recent_loses,Recent_goals,Recent_ga,Recent_points,Recent_xG,Recent_xGA,Recent_xPTS,Recent_xG_per_match,Recent_xGA_per_match,Recent_goals_per_match,Recent_ga_per_match,Recent_points_per_match,Recent_form_momentum,RecentHome_matches,RecentHome_wins,RecentHome_draws,RecentHome_loses,RecentHome_goals,RecentHome_ga,RecentHome_points,RecentHome_xG,RecentHome_xGA,RecentHome_xPTS,RecentAway_matches,RecentAway_wins,RecentAway_draws,RecentAway_loses,RecentAway_goals,RecentAway_ga,RecentAway_points,RecentAway_xG,RecentAway_xGA,RecentAway_xPTS,xG_per_match,xGA_per_match,GF_per_match,GA_per_match,PTS_per_match,xPTS_per_match,xG_efficiency,xGA_efficiency,PTS_efficiency,win_pct,draw_pct,loss_pct,GD,xGD,Home_strength,Away_strength,Home_Away_difference
Lens,1,Lens,17,13,1,3,31,13,40,38.210,23.180,32.920,8,7,0,1,16,4,21,21.320,8.940,18.960,9,6,1,2,15,9,19,16.890,14.230,13.960,5,5,0,0,10,2,15,12.050,3.890,12.450,2.410,0.778,2,0.400,3,1,2,2,0,0,3,0,6,4.140,1.130,4.970,3,3,0,0,7,2,9,7.910,2.760,7.480,2.248,1.364,1.824,0.765,2.353,1.936,0.811,0.561,1.215,76.471,5.882,17.647,18,15.030,87.500,70.370,17.130
Paris Saint Germain,2,Paris Saint Germain,17,12,3,2,37,15,39,33.860,15.500,36.440,8,7,1,0,19,4,22,18.040,6.820,18.320,9,5,2,2,18,11,17,15.820,8.680,18.120,5,4,0,1,13,4,12,11.450,3.380,12.040,2.290,0.676,2.600,0.800,2.400,0.600,3,3,0,0,10,1,9,8.030,2.380,7.460,2,1,0,1,3,3,3,3.420,1,4.590,1.992,0.912,2.176,0.882,2.294,2.144,1.093,0.968,1.070,70.588,17.647,11.765,22,18.360,91.667,62.963,28.704
Marseille,3,Marseille,17,10,2,5,36,17,32,34.730,21.040,31.460,9,6,2,1,24,10,20,21.630,10.420,18.810,8,4,0,4,12,7,12,13.110,10.630,12.650,5,2,1,2,8,6,7,8.790,8.150,7.680,1.758,1.630,1.600,1.200,1.400,-0.067,3,1,1,1,3,4,4,4.790,6.210,3.480,2,1,0,1,5,2,3,3.990,1.930,4.200,2.043,1.238,2.118,1,1.882,1.851,1.037,0.808,1.017,58.824,11.765,29.412,19,13.690,74.074,50,24.074
Lille,4,Lille,17,10,2,5,33,22,32,32.400,23.360,28.190,9,6,1,2,16,8,19,18.970,10.230,17.270,8,4,1,3,17,14,13,13.430,13.140,10.920,5,4,0,1,10,7,12,7.860,7.280,6.680,1.572,1.456,2,1.400,2.400,0.600,3,2,0,1,5,4,6,5.780,3.900,4.690,2,2,0,0,5,3,6,2.080,3.380,2,1.906,1.374,1.941,1.294,1.882,1.658,1.019,0.942,1.135,58.824,11.765,29.412,11,9.040,70.370,54.167,16.204
Lyon,5,Lyon,17,9,3,5,25,17,30,28.110,21.690,27.960,8,6,0,2,14,6,18,16.150,7.770,16.680,9,3,3,3,11,11,12,11.960,13.920,11.280,5,3,1,1,7,2,10,8.850,6.630,8.700,1.770,1.326,1.400,0.400,2,0.333,2,2,0,0,4,0,6,5.150,1.830,5.040,3,1,1,1,3,2,4,3.710,4.800,3.660,1.654,1.276,1.471,1,1.765,1.645,0.889,0.784,1.073,52.941,17.647,29.412,8,6.420,75,44.444,30.556
Rennes,6,Rennes,17,8,6,3,29,24,30,26.030,30.670,21.180,8,5,2,1,18,8,17,16.300,12.450,13.740,9,3,4,2,11,16,13,9.720,18.220,7.440,5,4,0,1,10,7,12,7.290,7.180,7.140,1.458,1.436,2,1.400,2.400,0.600,2,2,0,0,7,2,6,4.660,2.480,4.300,3,2,0,1,3,5,6,2.630,4.700,2.830,1.531,1.804,1.706,1.412,1.765,1.246,1.114,0.783,1.416,47.059,35.294,17.647,5,-4.640,70.833,48.148,22.685
Strasbourg,7,Strasbourg,17,7,3,7,26,21,24,27.220,22.610,24.940,8,5,1,2,14,4,16,15.560,5.840,16.240,9,2,2,5,12,17,8,11.660,16.770,8.700,5,0,2,3,2,5,2,3.940,6.680,4.740,0.788,1.336,0.400,1,0.400,-0.733,2,0,1,1,1,2,1,2.060,1.420,3.230,3,0,1,2,1,3,1,1.880,5.260,1.510,1.601,1.330,1.529,1.235,1.412,1.467,0.955,0.929,0.962,41.176,17.647,41.176,5,4.610,66.667,29.630,37.037
Toulouse,8,Toulouse,17,6,5,6,24,22,23,23.500,22.940,24.780,9,3,3,3,14,14,12,14.030,10.620,15.220,8,3,2,3,10,8,11,9.470,12.320,9.550,5,2,1,2,6,6,7,6.100,5.090,8.230,1.220,1.018,1.200,1.200,1.400,-0.067,3,1,0,2,1,4,3,2.960,3.090,4.610,2,1,1,0,5,2,4,3.130,1.990,3.630,1.382,1.349,1.412,1.294,1.353,1.458,1.021,0.959,0.928,35.294,29.412,35.294,2,0.560,44.444,45.833,-1.389
Monaco,9,Monaco,17,7,2,8,27,30,23,32.070,29.030,24.580,9,5,1,3,17,15,16,18.230,13.680,15,8,2,1,5,10,15,7,13.840,15.350,9.590,5,1,0,4,3,9,3,5.480,9.660,3.690,1.096,1.932,0.600,1.800,0.600,-0.600,2,1,0,1,2,3,3,1.440,3.430,1.160,3,0,0,3,1,6,0,4.040,6.230,2.530,1.886,1.708,1.588,1.765,1.353,1.446,0.842,1.033,0.936,41.176,11.765,47.059,-3,3.040,59.259,29.167,30.093
Angers,10,Angers,17,6,4,7,18,20,22,17.900,29.180,16.220,8,4,2,2,12,7,14,11.100,10.260,10.920,9,2,2,5,6,13,8,6.800,18.920,5.310,5,3,0,2,8,5,9,6.550,7.010,5.840,1.310,1.402,1.600,1,1.800,0.200,2,1,0,1,5,3,3,4.150,2.230,3.600,3,2,0,1,3,2,6,2.390,4.780,2.240,1.053,1.716,1.059,1.176,1.294,0.954,1.006,0.685,1.356,35.294,23.529,41.176,-2,-11.280,58.333,29.630,28.704
