Team,number,team,matches,wins,draws,loses,goals,ga,points,xG,xGA,xPTS,Home_matches,Home_wins,Home_draws,Home_loses,Home_goals,Home_ga,Home_points,Home_xG,Home_xGA,Home_xPTS,Away_matches,Away_wins,Away_draws,Away_loses,Away_goals,Away_ga,Away_points,Away_xG,Away_xGA,Away_xPTS,Recent_matches,Recent_wins,Recent_draws,Recent_loses,Recent_goals,Recent_ga,Recent_points,Recent_xG,Recent_xGA,Recent_xPTS,Recent_xG_per_match,Recent_xGA_per_match,Recent_goals_per_match,Recent_ga_per_match,Recent_points_per_match,Recent_form_momentum,RecentHome_matches,RecentHome_wins,RecentHome_draws,RecentHome_loses,RecentHome_goals,RecentHome_ga,RecentHome_points,RecentHome_xG,RecentHome_xGA,RecentHome_xPTS,RecentAway_matches,RecentAway_wins,RecentAway_draws,RecentAway_loses,RecentAway_goals,RecentAway_ga,RecentAway_points,RecentAway_xG,RecentAway_xGA,RecentAway_xPTS,xG_per_match,xGA_per_match,GF_per_match,GA_per_match,PTS_per_match,xPTS_per_match,xG_efficiency,xGA_efficiency,PTS_efficiency,win_pct,draw_pct,loss_pct,GD,xGD,Home_strength,Away_strength,Home_Away_difference
Arsenal,1,Arsenal,21,15,4,2,40,14,49,41.460,17.650,44.820,11,9,2,0,26,5,29,24.440,8,25.530,10,6,2,2,14,9,20,17.030,9.660,19.300,5,4,1,0,10,4,13,10.790,5.130,10.880,2.158,1.026,2,0.800,2.600,0.733,3,2,1,0,6,2,7,7.660,3.970,6.530,2,2,0,0,4,2,6,3.130,1.160,4.350,1.974,0.840,1.905,0.667,2.333,2.134,0.965,0.793,1.093,71.429,19.048,9.524,26,23.810,87.879,66.667,21.212
Manchester City,2,Manchester City,21,13,4,4,45,19,43,43.570,24.030,41.780,11,8,2,1,27,8,26,25.870,12.800,23.230,10,5,2,3,18,11,17,17.700,11.230,18.550,5,2,3,0,7,3,9,11.480,5.950,10.220,2.296,1.190,1.400,0.600,1.800,0.200,3,1,2,0,5,2,5,7.570,4.390,5.750,2,1,1,0,2,1,4,3.910,1.560,4.460,2.075,1.144,2.143,0.905,2.048,1.990,1.033,0.791,1.029,61.905,19.048,19.048,26,19.540,78.788,56.667,22.121
Aston Villa,3,Aston Villa,21,13,4,4,33,24,43,29.770,33.330,26.020,10,8,1,1,18,8,25,14.530,13.590,14.470,11,5,3,3,15,16,18,15.240,19.740,11.550,5,3,1,1,8,7,10,10.370,9.910,7.650,2.074,1.982,1.600,1.400,2,0.333,2,2,0,0,5,2,6,3.300,2.200,3.670,3,1,1,1,3,5,4,7.070,7.710,3.980,1.418,1.587,1.571,1.143,2.048,1.239,1.108,0.720,1.653,61.905,19.048,19.048,9,-3.560,83.333,54.545,28.788
Liverpool,4,Liverpool,21,10,5,6,32,28,35,35.410,26.870,35.090,10,6,2,2,15,10,20,16.780,10.280,18.730,11,4,3,4,17,18,15,18.630,16.590,16.360,5,2,3,0,6,4,9,6.510,3.600,9.070,1.302,0.720,1.200,0.800,1.800,0.200,2,1,1,0,2,1,4,3.240,0.940,4.670,3,1,2,0,4,3,5,3.270,2.660,4.400,1.686,1.280,1.524,1.333,1.667,1.671,0.904,1.042,0.997,47.619,23.810,28.571,4,8.540,66.667,45.455,21.212
Brentford,5,Brentford,21,10,3,8,35,28,33,39.240,28.950,34.400,11,7,3,1,23,10,24,23.480,14.800,20.060,10,3,0,7,12,18,9,15.760,14.150,14.340,5,4,1,0,13,3,13,11.880,6.950,9.690,2.376,1.390,2.600,0.600,2.600,0.733,3,2,1,0,7,1,7,7.270,4.680,5.510,2,2,0,0,6,2,6,4.610,2.270,4.170,1.869,1.379,1.667,1.333,1.571,1.638,0.892,0.967,0.959,47.619,14.286,38.095,7,10.290,72.727,30,42.727
Newcastle United,6,Newcastle United,21,9,5,7,32,27,32,34.970,25.160,34.830,11,7,2,2,22,15,23,24.620,14.700,21.670,10,2,3,5,10,12,9,10.350,10.460,13.170,5,3,1,1,11,7,10,11.660,6.920,10.180,2.332,1.384,2.200,1.400,2,0.333,3,2,1,0,8,5,7,8.040,4.660,6.480,2,1,0,1,3,2,3,3.620,2.270,3.700,1.665,1.198,1.524,1.286,1.524,1.659,0.915,1.073,0.919,42.857,23.810,33.333,5,9.810,69.697,30,39.697
Manchester United,7,Manchester United,21,8,8,5,36,32,32,41.340,28.610,35.710,10,5,3,2,18,13,18,20.470,11.100,19.900,11,3,5,3,18,19,14,20.870,17.510,15.800,5,1,3,1,6,6,6,7.850,5.510,8.150,1.570,1.102,1.200,1.200,1.200,-0.200,2,1,1,0,2,1,4,2.070,2.350,2.460,3,0,2,1,4,5,2,5.780,3.160,5.700,1.969,1.362,1.714,1.524,1.524,1.700,0.871,1.118,0.896,38.095,38.095,23.810,4,12.730,60,42.424,17.576
Chelsea,8,Chelsea,21,8,7,6,34,24,31,39.950,31.040,32.270,10,4,3,3,15,11,15,20,16.090,15.070,11,4,4,3,19,13,16,19.950,14.960,17.200,5,0,3,2,7,9,3,9.820,10.520,6.800,1.964,2.104,1.400,1.800,0.600,-0.600,2,0,1,1,3,4,1,4.300,5.550,1.920,3,0,2,1,4,5,2,5.510,4.970,4.880,1.902,1.478,1.619,1.143,1.476,1.537,0.851,0.773,0.961,38.095,33.333,28.571,10,8.910,50,48.485,1.515
Fulham,9,Fulham,21,9,4,8,30,30,31,25.080,32.280,23.460,11,6,2,3,19,13,20,14.680,14.040,15.610,10,3,2,5,11,17,11,10.390,18.240,7.860,5,3,2,0,7,4,11,6.240,8.150,5.650,1.248,1.630,1.400,0.800,2.200,0.467,3,2,1,0,5,3,7,3.370,4.660,3.400,2,1,1,0,2,1,4,2.870,3.490,2.250,1.194,1.537,1.429,1.429,1.476,1.117,1.196,0.929,1.321,42.857,19.048,38.095,0,-7.200,60.606,36.667,23.939
Sunderland,10,Sunderland,21,7,9,5,21,22,30,20.830,34.120,20.610,10,5,5,0,16,8,20,10.210,13.970,11.340,11,2,4,5,5,14,10,10.620,20.150,9.260,5,0,4,1,2,5,4,5.050,11.250,3.110,1.010,2.250,0.400,1,0.800,-0.467,2,0,2,0,1,1,2,1.770,5.050,0.760,3,0,2,1,1,4,2,3.280,6.200,2.350,0.992,1.625,1,1.048,1.429,0.981,1.008,0.645,1.456,33.333,42.857,23.810,-1,-13.290,66.667,30.303,36.364
Brighton,11,Brighton,21,7,8,6,31,28,29,33.020,34.090,28.520,10,5,4,1,18,11,19,15.980,14.500,14.750,11,2,4,5,13,17,10,17.040,19.590,13.760,5,1,3,1,6,5,6,7.520,9.340,6.090,1.504,1.868,1.200,1,1.200,-0.200,2,1,1,0,2,0,4,2.390,1.560,3.420,3,0,2,1,4,5,2,5.130,7.780,2.670,1.572,1.623,1.476,1.333,1.381,1.358,0.939,0.821,1.017,33.333,38.095,28.571,3,-1.070,63.333,30.303,33.030
Everton,12,Everton,21,8,5,8,23,25,29,26.440,32.900,25.620,11,4,3,4,14,15,15,15.570,16.290,15.250,10,4,2,4,9,10,14,10.870,16.600,10.380,5,1,2,2,5,6,5,5.800,8.620,5.360,1.160,1.724,1,1.200,1,-0.333,3,0,1,2,3,6,1,2.850,5.610,2.620,2,1,1,0,2,0,4,2.950,3,2.740,1.259,1.567,1.095,1.190,1.381,1.220,0.870,0.760,1.132,38.095,23.810,38.095,-2,-6.460,45.455,46.667,-1.212
Crystal Palace,13,Crystal Palace,21,7,7,7,22,23,28,36.030,31.090,31.610,11,2,6,3,10,12,12,20.570,15.820,17.900,10,5,1,4,12,11,16,15.450,15.270,13.710,5,0,2,3,2,8,2,7.420,10.330,4.870,1.484,2.066,0.400,1.600,0.400,-0.733,3,0,2,1,1,2,2,4.610,4.700,3.980,2,0,0,2,1,6,0,2.810,5.640,0.890,1.716,1.480,1.048,1.095,1.333,1.505,0.611,0.740,0.886,33.333,33.333,33.333,-1,4.940,36.364,53.333,-16.970
Tottenham,14,Tottenham,21,7,6,8,30,27,27,23.550,26.690,28.460,10,2,3,5,12,12,9,12.220,11.190,16.060,11,5,3,3,18,15,18,11.330,15.500,12.400,5,1,2,2,5,6,5,5.870,4.380,8.130,1.174,0.876,1,1.200,1,-0.333,2,0,1,1,2,3,1,2.770,1.700,3.750,3,1,1,1,3,3,4,3.110,2.680,4.380,1.121,1.271,1.429,1.286,1.286,1.355,1.274,1.012,0.949,33.333,28.571,38.095,3,-3.140,30,54.545,-24.545
