Team,number,team,matches,wins,draws,loses,goals,ga,points,xG,xGA,xPTS,Home_matches,Home_wins,Home_draws,Home_loses,Home_goals,Home_ga,Home_points,Home_xG,Home_xGA,Home_xPTS,Away_matches,Away_wins,Away_draws,Away_loses,Away_goals,Away_ga,Away_points,Away_xG,Away_xGA,Away_xPTS,Recent_matches,Recent_wins,Recent_draws,Recent_loses,Recent_goals,Recent_ga,Recent_points,Recent_xG,Recent_xGA,Recent_xPTS,Recent_xG_per_match,Recent_xGA_per_match,Recent_goals_per_match,Recent_ga_per_match,Recent_points_per_match,Recent_form_momentum,RecentHome_matches,RecentHome_wins,RecentHome_draws,RecentHome_loses,RecentHome_goals,RecentHome_ga,RecentHome_points,RecentHome_xG,RecentHome_xGA,RecentHome_xPTS,RecentAway_matches,RecentAway_wins,RecentAway_draws,RecentAway_loses,RecentAway_goals,RecentAway_ga,RecentAway_points,RecentAway_xG,RecentAway_xGA,RecentAway_xPTS,xG_per_match,xGA_per_match,GF_per_match,GA_per_match,PTS_per_match,xPTS_per_match,xG_efficiency,xGA_efficiency,PTS_efficiency,win_pct,draw_pct,loss_pct,GD,xGD,Home_strength,Away_strength,Home_Away_difference
Inter,1,Inter,18,14,0,4,40,15,42,42.910,16.450,39.970,9,7,0,2,24,6,21,24.940,7.360,22.350,9,7,0,2,16,9,21,17.970,9.090,17.610,4,4,0,0,8,2,12,11.030,3.110,9.790,2.757,0.777,2,0.500,3,1,1,1,0,0,3,1,3,4.270,0.780,2.930,3,3,0,0,5,1,9,6.760,2.330,6.860,2.384,0.914,2.222,0.833,2.333,2.221,0.932,0.912,1.051,77.778,0,22.222,25,26.460,77.778,77.778,0
AC Milan,2,AC Milan,18,11,6,1,29,14,39,32.180,17.790,35.220,10,6,3,1,16,9,21,20.260,10.640,20.630,8,5,3,0,13,5,18,11.930,7.150,14.590,4,2,2,0,7,3,8,7.720,3.100,8.640,1.930,0.775,1.750,0.750,2,0.333,3,1,2,0,6,3,5,6.830,2.790,6.750,1,1,0,0,1,0,3,0.890,0.310,1.890,1.788,0.988,1.611,0.778,2.167,1.957,0.901,0.787,1.107,61.111,33.333,5.556,15,14.390,70,75,-5
Napoli,3,Napoli,18,12,2,4,28,15,38,30.240,19.820,31.610,8,6,2,0,16,8,20,12.510,9.460,13.250,10,6,0,4,12,7,18,17.730,10.360,18.360,4,2,1,1,6,3,7,7.780,3.820,7.820,1.945,0.955,1.500,0.750,1.750,0.167,1,0,1,0,2,2,1,1.570,1.290,1.570,3,2,0,1,4,1,6,6.210,2.520,6.250,1.680,1.101,1.556,0.833,2.111,1.756,0.926,0.757,1.202,66.667,11.111,22.222,13,10.420,83.333,60,23.333
Juventus,4,Juventus,19,10,6,3,27,16,36,34.400,17.740,36.120,9,5,4,0,15,8,19,19.390,7.640,19.080,10,5,2,3,12,8,17,15.010,10.100,17.030,5,4,1,0,9,2,13,12.960,3.280,12.550,2.592,0.656,1.800,0.400,2.600,0.733,2,1,1,0,3,2,4,6.690,1.460,5.480,3,3,0,0,6,0,9,6.270,1.820,7.060,1.811,0.934,1.421,0.842,1.895,1.901,0.785,0.902,0.997,52.632,31.579,15.789,11,16.660,70.370,56.667,13.704
Roma,5,Roma,19,12,0,7,22,12,36,27,24.410,28.870,9,6,0,3,11,5,18,13.010,8.150,15.950,10,6,0,4,11,7,18,13.990,16.260,12.910,5,3,0,2,7,4,9,7.700,7.580,7.640,1.540,1.516,1.400,0.800,1.800,0.200,2,2,0,0,4,1,6,3.520,1.150,4.600,3,1,0,2,3,3,3,4.190,6.440,3.040,1.421,1.285,1.158,0.632,1.895,1.519,0.815,0.492,1.247,63.158,0,36.842,10,2.590,66.667,60,6.667
Como,6,Como,18,9,6,3,26,12,33,27.420,22.190,28.530,8,5,3,0,12,3,18,12.890,7.960,14.920,10,4,3,3,14,9,15,14.530,14.230,13.600,4,3,0,1,7,1,9,7.460,4.770,7.380,1.865,1.192,1.750,0.250,2.250,0.500,1,1,0,0,1,0,3,2.380,0.240,2.820,3,2,0,1,6,1,6,5.070,4.520,4.560,1.523,1.233,1.444,0.667,1.833,1.585,0.948,0.541,1.157,50,33.333,16.667,14,5.230,75,50,25
Atalanta,7,Atalanta,19,7,7,5,23,19,28,31.410,22.090,32.110,10,4,4,2,12,9,16,20.060,10.800,19.940,9,3,3,3,11,10,12,11.340,11.290,12.180,5,4,0,1,6,2,12,10.090,5.290,9.970,2.018,1.058,1.200,0.400,2.400,0.600,3,2,0,1,3,2,6,6.990,3.210,6.470,2,2,0,0,3,0,6,3.100,2.080,3.500,1.653,1.163,1.211,1,1.474,1.690,0.732,0.860,0.872,36.842,36.842,26.316,4,9.320,53.333,44.444,8.889
Bologna,8,Bologna,18,7,5,6,25,19,26,26.810,26.590,25.070,9,4,2,3,11,8,14,14.120,9.600,14.580,9,3,3,3,14,11,12,12.690,16.990,10.480,4,0,1,3,2,7,1,3.810,9.200,2.650,0.953,2.300,0.500,1.750,0.250,-0.833,3,0,1,2,1,4,1,3.030,4.930,2.610,1,0,0,1,1,3,0,0.780,4.270,0.040,1.489,1.477,1.389,1.056,1.444,1.393,0.932,0.715,1.037,38.889,27.778,33.333,6,0.220,51.852,44.444,7.407
Lazio,9,Lazio,19,6,7,6,20,16,25,23.400,25.420,23.060,10,4,4,2,15,9,16,13.860,13.170,13.150,9,2,3,4,5,7,9,9.540,12.250,9.910,5,1,3,1,4,5,6,6.160,6.540,6.740,1.232,1.308,0.800,1,1.200,-0.200,3,0,2,1,2,4,2,3.550,4.650,3.410,2,1,1,0,2,1,4,2.610,1.890,3.330,1.232,1.338,1.053,0.842,1.316,1.214,0.855,0.629,1.084,31.579,36.842,31.579,4,-2.020,53.333,33.333,20.000
Udinese,10,Udinese,19,7,4,8,20,30,25,24.430,30.030,23.240,9,3,3,3,9,13,12,12.590,10.130,14.030,10,4,1,5,11,17,13,11.850,19.900,9.210,5,2,1,2,5,8,7,6.010,9.080,5.480,1.202,1.816,1,1.600,1.400,-0.067,2,1,1,0,2,1,4,2.650,1.780,3.340,3,1,0,2,3,7,3,3.360,7.310,2.140,1.286,1.581,1.053,1.579,1.316,1.223,0.819,0.999,1.076,36.842,21.053,42.105,-10,-5.600,44.444,43.333,1.111
Sassuolo,11,Sassuolo,19,6,5,8,23,25,23,23.020,30.570,22.470,10,3,2,5,11,14,11,11.740,16.380,11.100,9,3,3,3,12,11,12,11.280,14.190,11.370,5,0,3,2,4,8,3,4.350,8.860,4.260,0.870,1.772,0.800,1.600,0.600,-0.600,3,0,1,2,1,5,1,1.790,6.090,1.600,2,0,2,0,3,3,2,2.550,2.770,2.660,1.212,1.609,1.211,1.316,1.211,1.183,0.999,0.818,1.024,31.579,26.316,42.105,-2,-7.550,36.667,44.444,-7.778
Torino,12,Torino,19,6,5,8,21,30,23,27.270,28.560,25.790,10,3,2,5,11,18,11,15.840,17.960,12.300,9,3,3,3,10,12,12,11.430,10.590,13.490,5,3,0,2,7,4,9,9.780,4.850,10.610,1.956,0.970,1.400,0.800,1.800,0.200,3,1,0,2,3,4,3,6.080,4.010,5.600,2,2,0,0,4,0,6,3.700,0.840,5.010,1.435,1.503,1.105,1.579,1.211,1.357,0.770,1.050,0.892,31.579,26.316,42.105,-9,-1.290,36.667,44.444,-7.778
Cremonese,13,Cremonese,19,5,7,7,20,23,22,21.400,34.740,18.580,9,2,4,3,11,13,10,12.380,15.180,10.800,10,3,3,4,9,10,12,9.020,19.570,7.780,5,0,2,3,2,6,2,4.690,9.220,4.230,0.938,1.844,0.400,1.200,0.400,-0.733,2,0,1,1,2,4,1,2.530,4.640,1.810,3,0,1,2,0,2,1,2.160,4.590,2.420,1.126,1.828,1.053,1.211,1.158,0.978,0.935,0.662,1.184,26.316,36.842,36.842,-3,-13.340,37.037,40,-2.963
Cagliari,14,Cagliari,19,4,7,8,21,27,19,20.080,33,18.370,9,2,3,4,10,13,9,9.260,14.130,9.570,10,2,4,4,11,14,10,10.820,18.860,8.800,5,1,2,2,7,8,5,4.860,10.720,3.060,0.972,2.144,1.400,1.600,1,-0.333,2,0,1,1,2,3,1,1.510,2.920,1.500,3,1,1,1,5,5,4,3.350,7.800,1.560,1.057,1.737,1.105,1.421,1,0.967,1.046,0.818,1.034,21.053,36.842,42.105,-6,-12.920,33.333,33.333,0
Parma Calcio 1913,15,Parma Calcio 1913,18,4,6,8,12,21,18,19.670,27.990,20.900,10,2,3,5,7,13,9,10.570,16.410,11.130,8,2,3,3,5,8,9,9.100,11.580,9.770,4,1,1,2,2,4,4,3.790,7.110,3.720,0.948,1.778,0.500,1,1,-0.333,3,1,0,2,1,3,3,2.610,6.100,2.250,1,0,1,0,1,1,1,1.180,1.010,1.470,1.093,1.555,0.667,1.167,1,1.161,0.610,0.750,0.861,22.222,33.333,44.444,-9,-8.320,30,37.500,-7.500
Lecce,16,Lecce,18,4,5,9,12,25,17,16.970,29.270,16.170,10,2,3,5,6,13,9,11.470,14.910,10.650,8,2,2,4,6,12,8,5.500,14.360,5.530,4,1,1,2,2,6,4,4.740,8.120,3.740,1.185,2.030,0.500,1.500,1,-0.333,3,1,0,2,1,5,3,4.560,4.530,3.720,1,0,1,0,1,1,1,0.180,3.590,0.020,0.943,1.626,0.667,1.389,0.944,0.898,0.707,0.854,1.051,22.222,27.778,50,-13,-12.300,30,33.333,-3.333
Genoa,17,Genoa,19,3,7,9,19,29,16,24.810,31.790,20.890,10,1,4,5,6,13,7,11.870,16.580,10.180,9,2,3,4,13,16,9,12.940,15.210,10.710,5,0,2,3,4,8,2,4.380,9.340,3.110,0.876,1.868,0.800,1.600,0.400,-0.733,3,0,1,2,2,4,1,2.430,5.360,1.810,2,0,1,1,2,4,1,1.950,3.980,1.290,1.306,1.673,1,1.526,0.842,1.099,0.766,0.912,0.766,15.789,36.842,47.368,-10,-6.980,23.333,33.333,-10.000
Fiorentina,18,Fiorentina,19,2,7,10,20,30,13,28.940,31.350,23.780,9,2,2,5,13,14,8,16.730,13.820,13.870,10,0,5,5,7,16,5,12.200,17.530,9.910,5,2,1,2,9,6,7,10.640,7.060,9.120,2.128,1.412,1.800,1.200,1.400,-0.067,3,2,0,1,7,3,6,7.870,3.090,7.250,2,0,1,1,2,3,1,2.770,3.970,1.870,1.523,1.650,1.053,1.579,0.684,1.252,0.691,0.957,0.547,10.526,36.842,52.632,-10,-2.410,29.630,16.667,12.963
Verona,19,Verona,18,2,7,9,15,30,13,22.140,26.820,22.860,8,1,3,4,8,12,6,9.570,9.110,11.160,10,1,4,5,7,18,7,12.560,17.710,11.710,4,1,1,2,4,9,4,3.420,8.570,2.270,0.855,2.143,1,2.250,1,-0.333,1,0,0,1,0,3,0,0.260,1.700,0.310,3,1,1,1,4,6,4,3.160,6.870,1.960,1.230,1.490,0.833,1.667,0.722,1.270,0.678,1.119,0.569,11.111,38.889,50,-15,-4.680,25,23.333,1.667
